side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1
SHORT,2022-02-24 05:00:00+00:00,2022-02-24 05:05:00+00:00,2022-02-24 05:20:00+00:00,78.73424999000201,81.28661149401943,81.25410985007939,76.24589012992062,73.74178026984124,6.562918968579171,-16.750941729387137,-16.750941729387137,0.0,0.0,0.0,-1.012898195036544,STOP,False
SHORT,2022-02-24 05:25:00+00:00,2022-02-24 05:30:00+00:00,2022-02-24 06:00:00+00:00,78.98419999000201,82.35927979871992,82.32634925901633,75.67365072098369,72.34730145196737,4.877684817897026,-16.462575542174164,-16.462575542174164,0.0,0.0,0.0,-1.0098531026154052,STOP,False
LONG,2022-02-24 16:50:00+00:00,2022-02-24 16:55:00+00:00,2022-02-24 17:15:00+00:00,84.74694601000199,83.53347532359032,83.56690208442409,85.89309793557591,87.05619586115182,13.772787984549696,-16.712874489413892,-16.712874489413892,0.0,0.0,0.0,-1.0283267089548318,STOP,False
LONG,2022-02-25 03:40:00+00:00,2022-02-25 03:45:00+00:00,2022-02-25 04:40:00+00:00,89.507898010002,88.1879236423808,88.22321292755181,90.75678709244816,92.02357417489634,12.480542643799588,-16.473996383818772,-16.473996383818772,0.0,0.0,0.0,-1.0274692106673438,STOP,False
SHORT,2022-03-01 07:20:00+00:00,2022-03-01 07:35:00+00:00,2022-03-01 08:05:00+00:00,96.34072799000201,97.2866748953632,97.24777578504919,95.47222419495083,94.58444839990165,17.576808621423115,-16.6267277215612,-16.6267277215612,0.0,0.0,0.0,-1.0428854030916823,STOP,False
LONG,2022-03-02 05:15:00+00:00,2022-03-02 05:20:00+00:00,2022-03-02 06:20:00+00:00,103.72074001000199,102.67933627556931,102.72042444534745,104.67957557465255,105.6591511393051,15.717451218020846,-16.36821239421034,-16.36821239421034,0.0,0.0,0.0,-1.0410752078943455,STOP,False
LONG,2022-03-02 11:45:00+00:00,2022-03-02 11:55:00+00:00,2022-03-02 12:20:00+00:00,104.700936010002,103.54551307460146,103.58694785374296,105.77305216625705,106.86610432251409,13.898539433731736,-16.058691230302443,-16.058691230302443,0.0,0.0,0.0,-1.03719499072651,STOP,False
SHORT,2022-03-02 20:10:00+00:00,2022-03-02 20:15:00+00:00,2022-03-02 21:50:00+00:00,100.779839990002,100.820151925998,101.573042178949,100.02695780105101,99.25391561210202,19.392337275753043,6.909201338985912,6.909201338985912,0.0,7.300072668522428,0.0,0.44917315085889725,STOP,True
SHORT,2022-03-03 14:30:00+00:00,2022-03-03 14:35:00+00:00,2022-03-03 15:05:00+00:00,99.60007599000201,98.08248480957276,100.38875758021364,98.85124239978639,98.08248480957276,19.61276228704658,22.225425134065993,22.225425134065993,0.0,7.343347598727352,0.0,1.4368439676883629,TP2,True
SHORT,2022-03-04 09:10:00+00:00,2022-03-04 09:15:00+00:00,2022-03-04 10:20:00+00:00,91.90161599000201,92.90299416726046,92.8658478281292,90.97415215187081,90.02830431374161,16.234405861485907,-16.256779750448576,-16.256779750448576,0.0,0.0,0.0,-1.0385242818816305,STOP,False
