"ts","open","high","low","close","volume"
"1753294500000","189.2896","189.2916","188.8188","189.206","296.11"
"1753294800000","189.206","189.4421","189.2024","189.4418","154.04"
"1753295100000","189.4418","189.9066","189.4418","189.4561","261.98"
"1753295400000","189.4561","189.6023","189.2151","189.4326","202.61"
"1753295700000","189.4326","190.1484","189.4318","190.1484","249.2"
"1753296000000","190.1484","190.1484","189.632","189.6321","328.5"
"1753296300000","189.6321","190.2334","189.6273","189.9927","160.37"
"1753296600000","189.9927","190.1089","189.8044","190.0508","183.91"
"1753296900000","190.0508","190.3763","189.8529","190.1299","198.36"
"1753297200000","190.1299","190.3999","190.0367","190.3758","155.71"
"1753297500000","190.3758","190.3764","189.5003","189.5352","328.98"
"1753297800000","189.5352","190.2887","189.4263","189.4295","231.61"
"1753298100000","189.4295","189.6075","188.9093","189.6041","354.74"
"1753298400000","189.6041","189.612","189.1514","189.2142","189.41"
"1753298700000","189.2142","189.2188","188.8714","188.9356","193.32"
"1753299000000","188.9356","188.9372","188.5","188.5009","628.15"
"1753299300000","188.5009","189.0185","188.5","188.7899","188.43"
"1753299600000","188.7899","188.791","188.2059","188.7522","227.95"
"1753299900000","188.7522","190.1197","188.749","190.099","209.52"
"1753300200000","190.099","190.099","189.3582","189.4115","285.45"
"1753300500000","189.4115","189.4596","188.4154","188.417","394.59"
"1753300800000","188.417","189.5617","188.4168","189.0802","635.34"
"1753301100000","189.0802","189.0957","188.5485","188.66","276.66"
"1753301400000","188.66","188.907","188.3066","188.4346","266.23"
"1753301700000","188.4346","188.4671","187.875","187.8768","338.62"
"1753302000000","187.8768","188.2816","187.4972","188.1787","398.96"
"1753302300000","188.1787","188.1844","186.6717","186.9778","541.7"
"1753302600000","186.9778","187.1007","184.9995","184.9999","899.87"
"1753302900000","184.9999","186.1802","184.5778","184.8774","572.79"
"1753303200000","184.8774","186.4778","184.5763","186.4778","642.36"
"1753303500000","186.4778","186.7229","185.6343","185.6343","542.4"
"1753303800000","185.6343","187.0798","185.4191","187.0771","531.69"
"1753304100000","187.0771","187.0826","186.6751","186.9774","424.91"
"1753304400000","186.9774","187.6181","186.9501","187.3976","438.51"
"1753304700000","187.3976","187.4676","187.2738","187.3795","340.55"
"1753305000000","187.3795","187.5386","186.5101","187.2753","469.42"
"1753305300000","187.2753","187.4147","185.3809","185.3809","523.6"
"1753305600000","185.3809","186.18","185.1743","185.1799","545.14"
"1753305900000","185.1799","185.3441","184.2767","185.2805","489.92"
"1753306200000","185.2805","186.4025","185.2781","186.1617","525.45"
"1753306500000","186.1617","186.4792","184.5","186.3823","694.94"
"1753306800000","186.3823","187.3999","186.3814","186.9795","622.37"
"1753307100000","186.9795","188.1594","186.9755","187.8764","395.68"
"1753307400000","187.8764","188.3162","187.604","188.2589","206.08"
"1753307700000","188.2589","188.2634","187.8698","187.8724","282.05"
"1753308000000","187.8724","188.1512","186.6752","187.1749","423.23"
"1753308300000","187.1749","188.3947","187.1718","188.3938","463.77"
"1753308600000","188.3938","188.7152","188.1722","188.6125","379.76"
"1753308900000","188.6125","188.6143","188.1767","188.5298","196.15"
"1753309200000","188.5298","188.9033","188.5298","188.902","295.43"
"1753309500000","188.902","189.265","188.7492","189.2634","253.64"
"1753309800000","189.2634","189.5318","189.1683","189.5312","265.17"
"1753310100000","189.5312","189.5315","188.8694","188.9548","197.18"
"1753310400000","188.9548","189.5193","188.9543","189.2737","255.34"
"1753310700000","189.2737","189.6474","189.2733","189.647","169.36"
"1753311000000","189.647","189.7993","189.361","189.3618","160.68"
"1753311300000","189.3618","189.4088","188.8902","189.3275","124.68"
"1753311600000","189.3275","189.4672","188.8943","189.4672","243.3"
"1753311900000","189.4672","189.8589","189.4439","189.8551","138.93"
"1753312200000","189.8551","190.0024","189.8501","190.0022","149.16"
"1753312500000","190.0022","190.1398","189.8871","190.1069","188.72"
"1753312800000","190.1069","190.1083","189.4754","189.4779","218.95"
"1753313100000","189.4779","189.9592","189.3635","189.5281","158.61"
"1753313400000","189.5281","189.8391","189.5195","189.8391","108.89"
"1753313700000","189.8391","189.8399","189.5706","189.5896","80.91"
"1753314000000","189.5896","189.8577","189.5875","189.771","87.7"
"1753314300000","189.771","189.9578","189.4304","189.6108","104.86"
"1753314600000","189.6108","189.6585","189.3012","189.3058","130.99"
"1753314900000","189.3058","189.3453","189.303","189.3438","161.41"
