side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd
LONG,2017-10-21 15:20:00+00:00,2017-10-21 15:25:00+00:00,2017-10-21 17:00:00+00:00,6147.029160010002,6102.5583697192105,6103.779125544319,6187.820874475681,6229.841748941362,0.024476116916624484,-1.088472262532095,-1.088472262532095,0.0,0.0,0.0,-1.02822554571782,STOP,False,0.0,1.5833333333333333,,1.0,0.0,0.0,0.0,150.4554044103048,0.03,150.42531934643551
LONG,2017-10-21 22:40:00+00:00,2017-10-21 22:50:00+00:00,2017-10-21 23:15:00+00:00,6067.183194010002,6032.1131293704475,6033.319793329113,6098.620206690887,6131.270413371774,0.024792846845320966,-0.8694867414639788,-0.8694867414639788,0.0,0.0,0.0,-1.0356332776508932,STOP,False,0.0,0.4166666666666667,,1.0,0.0,0.0,0.0,150.42274371159527,0.03,150.39266517855955
LONG,2017-10-23 01:15:00+00:00,2017-10-23 01:20:00+00:00,2017-10-23 01:30:00+00:00,5947.209204010002,5967.724008547228,5934.869579699355,5957.1704203206455,5968.320840631291,0.025288609956922902,0.3778156741700711,0.3778156741700711,0.0,0.11842022902787033,0.0,1.2107460913560297,TP2,True,0.0,0.16666666666666666,5967.724008547228,1.0,0.0,0.0,0.0,150.39665389243086,0.03,150.3665805763156
LONG,2017-10-25 19:45:00+00:00,2017-10-25 19:50:00+00:00,2017-10-25 19:50:00+00:00,5501.300040010002,5520.828515683906,5489.6096731403595,5510.79032687964,5521.38065374928,0.02734044490132492,0.38915956624842896,0.38915956624842896,0.0,0.12220095966381331,0.0,1.2175701510608385,TP2,True,0.0,0.0,5520.828515683906,1.0,0.0,0.0,0.0,150.40799062955003,0.03,150.37791504654072
LONG,2017-10-26 00:05:00+00:00,2017-10-26 00:10:00+00:00,2017-10-26 04:05:00+00:00,5691.057984010002,5689.9197724132,5663.980761062969,5715.859238957031,5741.798477904063,0.026430879490970678,0.3051637642531365,0.3051637642531365,0.0,0.32020573102828254,0.0,0.4264000313381961,STOP,True,0.0,3.9166666666666665,5715.287653033136,1.0,0.0,0.0,0.0,150.4196677514949,0.03,150.3895898335282
LONG,2017-10-27 00:05:00+00:00,2017-10-27 00:10:00+00:00,2017-10-27 00:15:00+00:00,5866.383042010002,5865.2097654016,5850.672510196702,5879.747489823298,5894.284979636595,0.025642516592960754,0.14876757882603575,0.14876757882603575,0.0,0.16381046127558105,0.0,0.3692808300126361,STOP,True,0.0,0.08333333333333333,5879.159515074315,1.0,0.0,0.0,0.0,150.42882449540505,0.03,150.39874474645578
LONG,2017-10-29 08:45:00+00:00,2017-10-29 09:00:00+00:00,2017-10-29 09:30:00+00:00,5790.987966010001,5763.059726000048,5764.212568513751,5815.447431506249,5841.064863002498,0.025977137113449063,-0.7254957200758813,-0.7254957200758813,0.0,0.0,0.0,-1.043056037314272,STOP,False,0.0,0.5,,1.0,0.0,0.0,0.0,150.4332884153753,0.03,150.40320777382055
LONG,2017-10-30 13:00:00+00:00,2017-10-30 13:05:00+00:00,2017-10-30 14:20:00+00:00,6170.013756010002,6125.311864409758,6126.5371718441265,6211.022828175873,6253.265656341746,0.024377825583336496,-1.0897349166759722,-1.0897349166759722,0.0,0.0,0.0,-1.0281831578509943,STOP,False,0.0,1.25,,1.0,0.0,0.0,0.0,150.41151919079874,0.03,150.38144290221828
LONG,2017-11-08 04:30:00+00:00,2017-11-08 04:35:00+00:00,2017-11-08 06:00:00+00:00,7311.482004010002,7360.042012908813,7284.640954656058,7335.399045363943,7360.778090717885,0.020567488304342848,0.7377919049997138,0.7377919049997138,0.0,0.2384131974571713,0.0,1.3364512952187102,TP2,True,0.0,1.4166666666666667,7360.042012908813,1.0,0.0,0.0,0.0,150.37882060488892,0.03,150.348750854718
LONG,2017-11-08 13:25:00+00:00,2017-11-08 13:30:00+00:00,2017-11-08 13:35:00+00:00,7401.480000010002,7399.99970401,7370.059581689114,7429.940418330886,7459.880836651772,0.02032038981238713,0.2665743370939326,0.2665743370939326,0.0,0.28161443297281624,0.0,0.4175171700627161,STOP,True,0.0,0.08333333333333333,7429.197424289053,1.0,0.0,0.0,0.0,150.40095878879035,0.03,150.37088461186798
